queryid_pep	pfam_id	pfam_description
evm.model.HIC_ASM_2.7070_Akon	PF00266	Aminotransferase class-V
evm.model.HIC_ASM_2.7087_Akon	PF00266	Aminotransferase class-V
evm.model.CTG_12190.3.2_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_11.1769.1_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_5.9187_Akon	PF01852	START domain
evm.model.HIC_ASM_5.9187_Akon	PF00046	Homeobox domain
evm.model.HIC_ASM_10.7053_Akon	PF01852	START domain
evm.model.HIC_ASM_10.7053_Akon	PF00046	Homeobox domain
evm.model.CTG_12805.1_Akon	PF01852	START domain
evm.model.CTG_12805.1_Akon	PF00046	Homeobox domain
evm.model.HIC_ASM_4.14714_Akon	PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)
evm.model.HIC_ASM_4.14714_Akon	PF01486	K-box region
evm.model.HIC_ASM_4.14718.1_Akon	PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)
evm.model.HIC_ASM_4.14718.1_Akon	PF01486	K-box region
evm.model.HIC_ASM_2.22_Akon	PF00226	DnaJ domain
evm.model.HIC_ASM_2.33_Akon	PF00226	DnaJ domain
evm.model.HIC_ASM_9.7114_Akon	PF00933	Glycosyl hydrolase family 3 N terminal domain
evm.model.HIC_ASM_9.7114_Akon	PF01915	Glycosyl hydrolase family 3 C-terminal domain
evm.model.HIC_ASM_0.775_Akon	PF08704	tRNA methyltransferase complex GCD14 subunit
evm.model.HIC_ASM_10.1962_Akon	PF01423	LSM domain
evm.model.HIC_ASM_0.5536_Akon	PF08458	Plant pleckstrin homology-like region
evm.model.HIC_ASM_0.5536_Akon	PF05703	Auxin canalisation
evm.model.HIC_ASM_0.5522_Akon	PF08458	Plant pleckstrin homology-like region
evm.model.HIC_ASM_0.5522_Akon	PF05703	Auxin canalisation
evm.model.HIC_ASM_10.623_Akon	PF19055	ABC2_membrane_7
evm.model.HIC_ASM_10.623_Akon	PF01061	ABC-2 type transporter
evm.model.HIC_ASM_10.623_Akon	PF00005	ABC transporter
evm.model.HIC_ASM_10.621_Akon	PF19055	ABC2_membrane_7
evm.model.HIC_ASM_10.621_Akon	PF01061	ABC-2 type transporter
evm.model.HIC_ASM_10.621_Akon	PF00005	ABC transporter
evm.model.HIC_ASM_2.7427_Akon	PF02705	K+ potassium transporter
evm.model.HIC_ASM_12.5013.1_Akon	PF04427	Brix domain
evm.model.HIC_ASM_12.3982_Akon	PF04564	U-box domain
evm.model.HIC_ASM_5.122_Akon	PF01263	Aldose 1-epimerase
evm.model.HIC_ASM_6.2431_Akon	PF01263	Aldose 1-epimerase
evm.model.HIC_ASM_5.8827_Akon	PF00759	Glycosyl hydrolase family 9
evm.model.HIC_ASM_5.8836_Akon	PF00759	Glycosyl hydrolase family 9
evm.model.HIC_ASM_11.551_Akon	PF00581	Rhodanese-like domain
evm.model.HIC_ASM_3.519_Akon	PF02298	Plastocyanin-like domain
evm.model.HIC_ASM_2.40_Akon	PF00536	SAM domain (Sterile alpha motif)
evm.model.HIC_ASM_2.40_Akon	PF07522	DNA repair metallo-beta-lactamase
evm.model.HIC_ASM_9.683_Akon	PF10181	GPI-GlcNAc transferase complex, PIG-H component
evm.model.HIC_ASM_0.4166.1_Akon	PF10181	GPI-GlcNAc transferase complex, PIG-H component
evm.model.HIC_ASM_1.10683_Akon	PF12530	Protein of unknown function (DUF3730)
evm.model.HIC_ASM_4.14533_Akon	PF13639	Ring finger domain
evm.model.HIC_ASM_4.14556_Akon	PF13639	Ring finger domain
evm.model.HIC_ASM_4.1695_Akon	PF03876	SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397
evm.model.HIC_ASM_4.1695_Akon	PF08292	RNA polymerase III subunit Rpc25
evm.model.CTG_1756.5_Akon	PF03876	SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397
evm.model.CTG_1756.5_Akon	PF08292	RNA polymerase III subunit Rpc25
evm.model.HIC_ASM_5.8923.6_Akon	PF00793	DAHP synthetase I family
evm.model.HIC_ASM_5.11009_Akon	PF00862	Sucrose synthase
evm.model.HIC_ASM_5.11009_Akon	PF00534	Glycosyl transferases group 1
evm.model.HIC_ASM_2.23_Akon	PF00578	AhpC/TSA family
evm.model.HIC_ASM_12.4613_Akon	PF05057	Putative serine esterase (DUF676)
evm.model.CTG_7691.14_Akon	PF05057	Putative serine esterase (DUF676)
evm.model.HIC_ASM_0.150.3_Akon	PF08314	Secretory pathway protein Sec39
evm.model.HIC_ASM_12.2592_Akon	PF11955	Plant organelle RNA recognition domain
evm.model.CTG_16284.4_Akon	PF01535	PPR repeat
evm.model.CTG_16284.4_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_7.7651_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_7.7651_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_6.449.3_Akon	PF03416	Peptidase family C54
evm.model.CTG_18899.8_Akon	PF04433	SWIRM domain
evm.model.CTG_18899.8_Akon	PF01593	Flavin containing amine oxidoreductase
evm.model.HIC_ASM_6.724_Akon	PF04433	SWIRM domain
evm.model.HIC_ASM_6.724_Akon	PF01593	Flavin containing amine oxidoreductase
evm.model.HIC_ASM_1.1055_Akon	PF12854	PPR repeat
evm.model.HIC_ASM_1.1055_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_1.1055_Akon	PF13041	PPR repeat family
evm.model.CTG_15386.10_Akon	PF12854	PPR repeat
evm.model.CTG_15386.10_Akon	PF01535	PPR repeat
evm.model.CTG_15386.10_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_1.4774_Akon	PF00439	Bromodomain
evm.model.HIC_ASM_1.4774_Akon	PF00004	ATPase family associated with various cellular activities (AAA)
evm.model.HIC_ASM_1.4774_Akon	PF17862	AAA_lid_3
evm.model.HIC_ASM_5.7186.16_Akon	PF08783	DWNN domain
evm.model.HIC_ASM_11.987.1_Akon	PF13193	AMP-binding enzyme C-terminal domain
evm.model.HIC_ASM_11.987.1_Akon	PF00501	AMP-binding enzyme
evm.model.HIC_ASM_11.986_Akon	PF13193	AMP-binding enzyme C-terminal domain
evm.model.HIC_ASM_11.986_Akon	PF00501	AMP-binding enzyme
evm.model.CTG_5330.1_Akon	PF13193	AMP-binding enzyme C-terminal domain
evm.model.CTG_5330.1_Akon	PF00501	AMP-binding enzyme
evm.model.HIC_ASM_4.13654_Akon	PF02298	Plastocyanin-like domain
evm.model.HIC_ASM_4.13511_Akon	PF02298	Plastocyanin-like domain
evm.model.HIC_ASM_6.8514.1_Akon	PF01963	TraB family
evm.model.HIC_ASM_5.11545_Akon	PF00237	Ribosomal protein L22p/L17e
evm.model.CTG_1595.7_Akon	PF00237	Ribosomal protein L22p/L17e
evm.model.HIC_ASM_1.10823_Akon	PF03662	Glycosyl hydrolase family 79, N-terminal domain
evm.model.HIC_ASM_1.10851_Akon	PF03662	Glycosyl hydrolase family 79, N-terminal domain
evm.model.HIC_ASM_4.827_Akon	PF03662	Glycosyl hydrolase family 79, N-terminal domain
evm.model.CTG_4240.7_Akon	PF03662	Glycosyl hydrolase family 79, N-terminal domain
evm.model.HIC_ASM_11.737_Akon	PF00762	Ferrochelatase
evm.model.HIC_ASM_11.722_Akon	PF00762	Ferrochelatase
evm.model.HIC_ASM_7.1275_Akon	PF00646	F-box domain
evm.model.HIC_ASM_2.7077_Akon	PF00646	F-box domain
evm.model.HIC_ASM_6.605_Akon	PF00646	F-box domain
evm.model.CTG_5330.37_Akon	PF04815	Sec23/Sec24 helical domain
evm.model.CTG_5330.37_Akon	PF08033	Sec23/Sec24 beta-sandwich domain
evm.model.CTG_5330.37_Akon	PF00626	Gelsolin repeat
evm.model.CTG_5330.37_Akon	PF04811	Sec23/Sec24 trunk domain
evm.model.CTG_5330.37_Akon	PF04810	Sec23/Sec24 zinc finger
evm.model.HIC_ASM_11.721_Akon	PF02485	Core-2/I-Branching enzyme
evm.model.CTG_17011.4.1_Akon	PF02485	Core-2/I-Branching enzyme
evm.model.HIC_ASM_11.736_Akon	PF02485	Core-2/I-Branching enzyme
evm.model.HIC_ASM_5.11495.1_Akon	PF02485	Core-2/I-Branching enzyme
evm.model.HIC_ASM_2.4439_Akon	PF00111	2Fe-2S iron-sulfur cluster binding domain
evm.model.HIC_ASM_8.4494_Akon	PF16135	TPL-binding domain in jasmonate signalling
evm.model.CTG_11207.9_Akon	PF16135	TPL-binding domain in jasmonate signalling
evm.model.HIC_ASM_1.8603_Akon	PF16135	TPL-binding domain in jasmonate signalling
evm.model.HIC_ASM_6.6525_Akon	PF16135	TPL-binding domain in jasmonate signalling
evm.model.HIC_ASM_9.3209_Akon	PF16135	TPL-binding domain in jasmonate signalling
evm.model.CTG_18673_F_3.1_Akon	PF07058	Microtubule-associated protein 70
evm.model.CTG_2142.3_Akon	PF07058	Microtubule-associated protein 70
evm.model.HIC_ASM_5.499_Akon	PF07058	Microtubule-associated protein 70
evm.model.HIC_ASM_5.6230_Akon	PF07058	Microtubule-associated protein 70
evm.model.HIC_ASM_4.14270_Akon	PF00781	Diacylglycerol kinase catalytic domain
evm.model.HIC_ASM_4.14270_Akon	PF00609	Diacylglycerol kinase accessory domain
evm.model.CTG_3432.8_Akon	PF00781	Diacylglycerol kinase catalytic domain
evm.model.CTG_3432.8_Akon	PF00609	Diacylglycerol kinase accessory domain
evm.model.CTG_20042.33_Akon	PF03372	Endonuclease/Exonuclease/phosphatase family
evm.model.HIC_ASM_4.1430_Akon	PF03372	Endonuclease/Exonuclease/phosphatase family
evm.model.CTG_13172.3_Akon	PF03372	Endonuclease/Exonuclease/phosphatase family
evm.model.HIC_ASM_4.14670_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_9.715_Akon	PF07690	Major Facilitator Superfamily
evm.model.HIC_ASM_9.715_Akon	PF06813	Nodulin-like
evm.model.HIC_ASM_9.425_Akon	PF07690	Major Facilitator Superfamily
evm.model.HIC_ASM_9.425_Akon	PF06813	Nodulin-like
evm.model.HIC_ASM_6.8964_Akon	PF01237	Oxysterol-binding protein
evm.model.HIC_ASM_6.8949_Akon	PF01237	Oxysterol-binding protein
evm.model.HIC_ASM_5.10191_Akon	PF01237	Oxysterol-binding protein
evm.model.CTG_14825.3.2_Akon	PF05383	La domain
evm.model.CTG_14825.3.2_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_10.2505.2_Akon	PF05383	La domain
evm.model.HIC_ASM_10.2505.2_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_11.2551_Akon	PF01554	MatE
evm.model.CTG_12173.4_Akon	PF01554	MatE
evm.model.HIC_ASM_4.1269_Akon	PF01997	Translin family
evm.model.HIC_ASM_7.263_Akon	PF00201	UDP-glucoronosyl and UDP-glucosyl transferase
evm.model.HIC_ASM_7.266_Akon	PF00201	UDP-glucoronosyl and UDP-glucosyl transferase
evm.model.HIC_ASM_9.10264_Akon	PF00201	UDP-glucoronosyl and UDP-glucosyl transferase
evm.model.HIC_ASM_6.332_Akon	PF00201	UDP-glucoronosyl and UDP-glucosyl transferase
evm.model.HIC_ASM_9.10267_Akon	PF00201	UDP-glucoronosyl and UDP-glucosyl transferase
evm.model.CTG_2046.1_Akon	PF03357	Snf7
evm.model.HIC_ASM_11.664_Akon	PF04178	Got1/Sft2-like family
evm.model.HIC_ASM_11.3705_Akon	PF00128	Alpha amylase, catalytic domain
evm.model.HIC_ASM_11.3705_Akon	PF02806	Alpha amylase, C-terminal all-beta domain
evm.model.HIC_ASM_11.3705_Akon	PF02922	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
evm.model.HIC_ASM_4.13872_Akon	PF02542	YgbB family
evm.model.HIC_ASM_6.6845.2_Akon	PF06941	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)
evm.model.CTG_7686.1.1_Akon	PF17745	Ydr279_N
evm.model.CTG_7686.1.1_Akon	PF09468	Ydr279p protein family (RNase H2 complex component)
evm.model.HIC_ASM_8.6921_Akon	PF05879	Root hair defective 3 GTP-binding protein (RHD3)
evm.model.HIC_ASM_10.1039.12_Akon	PF12174	RCD1-SRO-TAF4 (RST) plant domain
evm.model.HIC_ASM_5.9921_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_5.9921_Akon	PF07145	Ataxin-2 C-terminal region
evm.model.HIC_ASM_10.2348_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_10.2348_Akon	PF07145	Ataxin-2 C-terminal region
evm.model.HIC_ASM_5.9938_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_5.9938_Akon	PF07145	Ataxin-2 C-terminal region
evm.model.CTG_6307.3_Akon	PF00071	Ras family
evm.model.HIC_ASM_8.7245_Akon	PF00071	Ras family
evm.model.CTG_7307.53_Akon	PF00271	Helicase conserved C-terminal domain
evm.model.CTG_7307.53_Akon	PF00270	DEAD/DEAH box helicase
evm.model.CTG_11301.9_evm.model.CTG_11301.12_Akon	PF12333	Rix1 complex component involved in 60S ribosome maturation
evm.model.CTG_15123.3_evm.model.CTG_15123.4_Akon	PF12333	Rix1 complex component involved in 60S ribosome maturation
evm.model.HIC_ASM_12.5216_Akon	PF12333	Rix1 complex component involved in 60S ribosome maturation
evm.model.HIC_ASM_2.937_Akon	PF00249	Myb-like DNA-binding domain
evm.model.HIC_ASM_2.926_Akon	PF00249	Myb-like DNA-binding domain
evm.model.HIC_ASM_10.811_Akon	PF00249	Myb-like DNA-binding domain
evm.model.HIC_ASM_4.12546_Akon	PF00249	Myb-like DNA-binding domain
evm.model.HIC_ASM_4.12541_Akon	PF00249	Myb-like DNA-binding domain
evm.model.CTG_17367.1_Akon	PF01477	PLAT/LH2 domain
evm.model.CTG_17367.1_Akon	PF00305	Lipoxygenase
evm.model.HIC_ASM_3.9404_Akon	PF01477	PLAT/LH2 domain
evm.model.HIC_ASM_3.9404_Akon	PF00305	Lipoxygenase
evm.model.HIC_ASM_12.4905_Akon	PF05701	Weak chloroplast movement under blue light
evm.model.HIC_ASM_5.2372_Akon	PF05701	Weak chloroplast movement under blue light
evm.model.CTG_4221.7_Akon	PF05701	Weak chloroplast movement under blue light
evm.model.HIC_ASM_0.5429_Akon	PF01699	Sodium/calcium exchanger protein
evm.model.CTG_19547.1_Akon	PF03822	NAF domain
evm.model.CTG_19547.1_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_0.5635_Akon	PF03822	NAF domain
evm.model.HIC_ASM_0.5635_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_4.14466_Akon	PF03822	NAF domain
evm.model.HIC_ASM_4.14466_Akon	PF00069	Protein kinase domain
evm.model.CTG_1492.4_Akon	PF03822	NAF domain
evm.model.CTG_1492.4_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_4.218_Akon	PF03822	NAF domain
evm.model.HIC_ASM_4.218_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_4.14427_Akon	PF03822	NAF domain
evm.model.HIC_ASM_4.14427_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_10.817_Akon	PF02365	No apical meristem (NAM) protein
evm.model.HIC_ASM_2.885_Akon	PF02365	No apical meristem (NAM) protein
evm.model.HIC_ASM_9.6299.1_Akon	PF00582	Universal stress protein family
evm.model.CTG_10660.2_Akon	PF00514	Armadillo/beta-catenin-like repeat
evm.model.CTG_17797.1_Akon	PF00514	Armadillo/beta-catenin-like repeat
evm.model.CTG_4462.2_Akon	PF09713	Plant protein 1589 of unknown function (A_thal_3526)
evm.model.HIC_ASM_5.11315_Akon	PF09713	Plant protein 1589 of unknown function (A_thal_3526)
evm.model.CTG_11508.56_Akon	PF03552	Cellulose synthase
evm.model.CTG_3645.4_Akon	PF01751	Toprim domain
evm.model.CTG_3645.4_Akon	PF01131	DNA topoisomerase
evm.model.CTG_14472.5_evm.model.CTG_14472.4_Akon	PF01751	Toprim domain
evm.model.CTG_14472.5_evm.model.CTG_14472.4_Akon	PF01131	DNA topoisomerase
evm.model.HIC_ASM_4.715_Akon	PF00485	Phosphoribulokinase / Uridine kinase family
evm.model.HIC_ASM_4.715_Akon	PF01928	CYTH domain
evm.model.HIC_ASM_3.2383_Akon	PF14368	Probable lipid transfer
evm.model.HIC_ASM_0.6104_Akon	PF14368	Probable lipid transfer
evm.model.HIC_ASM_5.9846_Akon	PF12171	Zinc-finger double-stranded RNA-binding
evm.model.CTG_10297.3_Akon	PF12171	Zinc-finger double-stranded RNA-binding
evm.model.HIC_ASM_11.669.1_Akon	PF16544	Homodimerisation region of STAR domain protein
evm.model.HIC_ASM_9.7599_Akon	PF08472	Sucrose-6-phosphate phosphohydrolase C-terminal
evm.model.HIC_ASM_9.7599_Akon	PF05116	Sucrose-6F-phosphate phosphohydrolase
evm.model.HIC_ASM_12.5074_Akon	PF13516	Leucine Rich repeat
evm.model.HIC_ASM_12.5074_Akon	PF00646	F-box domain
evm.model.HIC_ASM_3.446_Akon	PF01655	Ribosomal protein L32
evm.model.HIC_ASM_5.2116_Akon	PF01655	Ribosomal protein L32
evm.model.HIC_ASM_4.3768.1_Akon	PF00270	DEAD/DEAH box helicase
evm.model.HIC_ASM_4.3768.1_Akon	PF00271	Helicase conserved C-terminal domain
evm.model.CTG_15571.8_Akon	PF07714	Protein tyrosine kinase
evm.model.CTG_15571.8_Akon	PF01453	D-mannose binding lectin
evm.model.CTG_15571.8_Akon	PF00954	S-locus glycoprotein domain
evm.model.HIC_ASM_9.438_Akon	PF07714	Protein tyrosine kinase
evm.model.HIC_ASM_9.438_Akon	PF01453	D-mannose binding lectin
evm.model.HIC_ASM_9.438_Akon	PF00954	S-locus glycoprotein domain
evm.model.HIC_ASM_9.2925_Akon	PF06749	Protein of unknown function (DUF1218)
evm.model.HIC_ASM_9.737_Akon	PF12796	Ankyrin repeats (3 copies)
evm.model.HIC_ASM_9.737_Akon	PF01529	DHHC palmitoyltransferase
evm.model.HIC_ASM_9.2014.2_Akon	PF00282	Pyridoxal-dependent decarboxylase conserved domain
evm.model.HIC_ASM_8.3705_Akon	PF00432	Prenyltransferase and squalene oxidase repeat
evm.model.HIC_ASM_11.423_Akon	PF07522	DNA repair metallo-beta-lactamase
evm.model.HIC_ASM_11.465_Akon	PF07522	DNA repair metallo-beta-lactamase
evm.model.HIC_ASM_7.351_Akon	PF00400	WD domain, G-beta repeat
evm.model.HIC_ASM_4.12510_Akon	PF00856	SET domain
evm.model.HIC_ASM_4.12510_Akon	PF02182	SAD/SRA domain
evm.model.HIC_ASM_4.12510_Akon	PF05033	Pre-SET motif
evm.model.HIC_ASM_2.7319_Akon	PF07173	Glycine-rich domain-containing protein-like
evm.model.CTG_10644.2_Akon	PF01565	FAD binding domain
evm.model.CTG_10644.2_Akon	PF04030	D-arabinono-1,4-lactone oxidase
evm.model.HIC_ASM_2.7065_Akon	PF01565	FAD binding domain
evm.model.HIC_ASM_2.7065_Akon	PF04030	D-arabinono-1,4-lactone oxidase
evm.model.HIC_ASM_4.1895_Akon	PF00153	Mitochondrial carrier protein
evm.model.HIC_ASM_6.121_Akon	PF04455	LOR/SDH bifunctional enzyme conserved region
evm.model.HIC_ASM_6.121_Akon	PF05222	Alanine dehydrogenase/PNT, N-terminal domain
evm.model.HIC_ASM_6.121_Akon	PF16653	Saccharopine dehydrogenase C-terminal domain
evm.model.HIC_ASM_6.121_Akon	PF03435	Saccharopine dehydrogenase NADP binding domain
evm.model.HIC_ASM_1.1581_Akon	PF02150	RNA polymerases M/15 Kd subunit
evm.model.HIC_ASM_1.1581_Akon	PF01096	Transcription factor S-II (TFIIS)
evm.model.CTG_10465.1_Akon	PF02150	RNA polymerases M/15 Kd subunit
evm.model.CTG_10465.1_Akon	PF01096	Transcription factor S-II (TFIIS)
evm.model.HIC_ASM_4.11604_Akon	PF14500	Dos2-interacting transcription regulator of RNA-Pol-II
evm.model.HIC_ASM_4.11604_Akon	PF12460	RNAPII transcription regulator C-terminal
evm.model.HIC_ASM_12.5218_Akon	PF01343	Peptidase family S49
evm.model.HIC_ASM_4.4428_Akon	PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase
evm.model.HIC_ASM_4.4428_Akon	PF00393	6-phosphogluconate dehydrogenase, C-terminal domain
evm.model.HIC_ASM_5.11993_Akon	PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase
evm.model.HIC_ASM_5.11993_Akon	PF00393	6-phosphogluconate dehydrogenase, C-terminal domain
evm.model.HIC_ASM_4.4431_Akon	PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase
evm.model.HIC_ASM_4.4431_Akon	PF00393	6-phosphogluconate dehydrogenase, C-terminal domain
evm.model.CTG_17904.4_Akon	PF00240	Ubiquitin family
evm.model.CTG_17904.4_Akon	PF13855	Leucine rich repeat
evm.model.HIC_ASM_9.10017.1_Akon	PF00240	Ubiquitin family
evm.model.HIC_ASM_9.10017.1_Akon	PF13855	Leucine rich repeat
evm.model.HIC_ASM_9.2782_Akon	PF13041	PPR repeat family
evm.model.HIC_ASM_9.2782_Akon	PF14432	DYW family of nucleic acid deaminases
evm.model.HIC_ASM_9.2782_Akon	PF01535	PPR repeat
evm.model.HIC_ASM_9.966.1_Akon	PF06203	CCT motif
evm.model.HIC_ASM_9.966.1_Akon	PF06200	tify domain
evm.model.HIC_ASM_9.966.1_Akon	PF00320	GATA zinc finger
evm.model.HIC_ASM_9.909.1_Akon	PF06203	CCT motif
evm.model.HIC_ASM_9.909.1_Akon	PF06200	tify domain
evm.model.HIC_ASM_9.909.1_Akon	PF00320	GATA zinc finger
evm.model.CTG_4118.5_Akon	PF04564	U-box domain
evm.model.HIC_ASM_12.4064_Akon	PF15071	Transmembrane family 220, helix
evm.model.CTG_409.1_Akon	PF15071	Transmembrane family 220, helix
evm.model.CTG_17559.20_Akon	PF00155	Aminotransferase class I and II
evm.model.HIC_ASM_5.11583_Akon	PF03016	Exostosin family
evm.model.HIC_ASM_6.6621_Akon	PF03703	Bacterial PH domain
evm.model.HIC_ASM_6.6867_Akon	PF01764	Lipase (class 3)
evm.model.CTG_10984.1_evm.model.CTG_10984.2_Akon	PF06470	SMC proteins Flexible Hinge Domain
evm.model.CTG_10984.1_evm.model.CTG_10984.2_Akon	PF02463	RecF/RecN/SMC N terminal domain
evm.model.HIC_ASM_9.2488_evm.model.HIC_ASM_9.2489_Akon	PF06470	SMC proteins Flexible Hinge Domain
evm.model.HIC_ASM_9.2488_evm.model.HIC_ASM_9.2489_Akon	PF02463	RecF/RecN/SMC N terminal domain
evm.model.HIC_ASM_5.12066_Akon	PF12697	Alpha/beta hydrolase family
evm.model.HIC_ASM_5.12078_Akon	PF12697	Alpha/beta hydrolase family
evm.model.HIC_ASM_6.9237_Akon	PF12697	Alpha/beta hydrolase family
evm.model.CTG_2158.2_Akon	PF12697	Alpha/beta hydrolase family
evm.model.HIC_ASM_5.12075_Akon	PF12697	Alpha/beta hydrolase family
evm.model.HIC_ASM_5.12076_Akon	PF12697	Alpha/beta hydrolase family
evm.model.CTG_17475.5.1_Akon	PF10294	Lysine methyltransferase
evm.model.HIC_ASM_4.2663.2_Akon	PF10294	Lysine methyltransferase
evm.model.HIC_ASM_4.3656_Akon	PF00056	lactate/malate dehydrogenase, NAD binding domain
evm.model.HIC_ASM_4.3656_Akon	PF02866	lactate/malate dehydrogenase, alpha/beta C-terminal domain
evm.model.HIC_ASM_5.11807_Akon	PF00056	lactate/malate dehydrogenase, NAD binding domain
evm.model.HIC_ASM_5.11807_Akon	PF02866	lactate/malate dehydrogenase, alpha/beta C-terminal domain
evm.model.HIC_ASM_1.9887_Akon	PF04979	Protein phosphatase inhibitor 2 (IPP-2)
evm.model.HIC_ASM_8.7094_Akon	PF04979	Protein phosphatase inhibitor 2 (IPP-2)
evm.model.HIC_ASM_8.7061_Akon	PF04979	Protein phosphatase inhibitor 2 (IPP-2)
evm.model.HIC_ASM_6.5057_Akon	PF00584	SecE/Sec61-gamma subunits of protein translocation complex
evm.model.CTG_19925.2_Akon	PF01327	Polypeptide deformylase
evm.model.HIC_ASM_2.611_Akon	PF03790	KNOX1 domain
evm.model.HIC_ASM_2.611_Akon	PF03791	KNOX2 domain
evm.model.HIC_ASM_2.611_Akon	PF05920	Homeobox KN domain
evm.model.HIC_ASM_2.611_Akon	PF03789	ELK domain
evm.model.CTG_20042.12_Akon	PF13499	EF-hand domain pair
evm.model.CTG_20042.12_Akon	PF13202	EF hand
evm.model.CTG_20042.12_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_9.543_Akon	PF05687	BES1/BZR1 plant transcription factor, N-terminal
evm.model.CTG_8869.5_Akon	PF05687	BES1/BZR1 plant transcription factor, N-terminal
evm.model.CTG_765.4_Akon	PF17927	Ins134_P3_kin_N
evm.model.CTG_765.4_Akon	PF05770	Inositol 1, 3, 4-trisphosphate 5/6-kinase
evm.model.HIC_ASM_9.4010_Akon	PF17927	Ins134_P3_kin_N
evm.model.HIC_ASM_9.4010_Akon	PF05770	Inositol 1, 3, 4-trisphosphate 5/6-kinase
evm.model.HIC_ASM_0.4897_Akon	PF00067	Cytochrome P450
evm.model.HIC_ASM_9.9887_Akon	PF00067	Cytochrome P450
evm.model.HIC_ASM_6.642_Akon	PF00067	Cytochrome P450
evm.model.HIC_ASM_9.1672.4_Akon	PF08423	Rad51
evm.model.HIC_ASM_3.1000_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_3.989_Akon	PF00069	Protein kinase domain
evm.model.HIC_ASM_1.1727_Akon	PF04628	Sedlin, N-terminal conserved region
evm.model.HIC_ASM_1.2946_Akon	PF12923	Ribosomal RNA-processing protein 7 (RRP7)
evm.model.HIC_ASM_5.9741.5_Akon	PF09350	Domain of unknown function (DUF1992)
evm.model.HIC_ASM_9.83_Akon	PF04690	YABBY protein
evm.model.HIC_ASM_5.11128_Akon	PF04690	YABBY protein
evm.model.HIC_ASM_0.5379_Akon	PF04690	YABBY protein
evm.model.HIC_ASM_9.71_Akon	PF04690	YABBY protein
evm.model.HIC_ASM_2.7532_Akon	PF01488	Shikimate / quinate 5-dehydrogenase
evm.model.HIC_ASM_2.7532_Akon	PF01487	Type I 3-dehydroquinase
evm.model.HIC_ASM_2.7532_Akon	PF18317	SDH_C
evm.model.HIC_ASM_2.7532_Akon	PF08501	Shikimate dehydrogenase substrate binding domain
evm.model.HIC_ASM_10.7267_Akon	PF19160	SPARK
evm.model.HIC_ASM_5.9467_Akon	PF19160	SPARK
evm.model.CTG_19653.3_Akon	PF19160	SPARK
evm.model.HIC_ASM_9.10721_Akon	PF01694	Rhomboid family
evm.model.HIC_ASM_1.1000.2_Akon	PF04535	Domain of unknown function (DUF588)
evm.model.HIC_ASM_1.1914_Akon	PF13625	Helicase conserved C-terminal domain
evm.model.HIC_ASM_1.1914_Akon	PF16203	ERCC3/RAD25/XPB C-terminal helicase
evm.model.HIC_ASM_1.1914_Akon	PF04851	Type III restriction enzyme, res subunit
evm.model.HIC_ASM_9.767_Akon	PF02183	Homeobox associated leucine zipper
evm.model.HIC_ASM_9.767_Akon	PF00046	Homeobox domain
evm.model.HIC_ASM_6.82_evm.model.HIC_ASM_6.80_Akon	PF13768	von Willebrand factor type A domain
evm.model.HIC_ASM_10.734_Akon	PF00005	ABC transporter
evm.model.HIC_ASM_10.734_Akon	PF00664	ABC transporter transmembrane region
evm.model.HIC_ASM_2.2976_evm.model.HIC_ASM_2.2974_Akon	PF01702	Queuine tRNA-ribosyltransferase
